time_s,AIN1_RAW,AIN2_RAW,AIN3_RAW,AIN4_RAW,AIN1_voltage_est,AIN2_voltage_est,AIN3_voltage_est,AIN4_voltage_est,AIN1_filtered_v,AIN2_filtered_v,AIN3_filtered_v,AIN4_filtered_v
0.13,2161,1830,3086,866,2.6121978021978,2.21208791208791,3.73032967032967,1.04681318681319,2.6810989010989,2.1786043956044,3.69382417582418,1.01405494505494
0.14,2207,1825,3051,863,2.6678021978022,2.20604395604396,3.68802197802198,1.04318681318681,2.70116483516483,2.18803296703297,3.69225274725275,1.02457142857143
0.15,2315,1813,3056,869,2.79835164835165,2.19153846153846,3.69406593406593,1.05043956043956,2.70563736263736,2.18452747252747,3.69297802197802,1.03593406593407
0.16,2232,1864,3089,872,2.69802197802198,2.25318681318681,3.73395604395604,1.05406593406593,2.71651648351648,2.19057142857143,3.69418681318681,1.04536263736264
0.17,2263,1785,3047,865,2.73549450549451,2.15769230769231,3.68318681318681,1.0456043956044,2.73694505494506,2.19323076923077,3.69297802197802,1.04850549450549
0.18,2325,1813,3059,874,2.81043956043956,2.19153846153846,3.69769230769231,1.05648351648352,2.74975824175824,2.18948351648352,3.69430769230769,1.05346153846154
0.19,2216,1795,3057,874,2.67868131868132,2.16978021978022,3.69527472527473,1.05648351648352,2.77236263736264,2.19323076923077,3.68886813186813,1.04886813186813
0.2,2317,1822,3048,892,2.80076923076923,2.20241758241758,3.6843956043956,1.07824175824176,2.80076923076923,2.18984615384615,3.68657142857143,1.04318681318681
0.21,2404,1778,3021,850,2.90593406593407,2.14923076923077,3.65175824175824,1.02747252747253,2.80089010989011,2.18851648351648,3.68451648351648,1.04814285714286
0.22,2308,1788,3048,890,2.78989010989011,2.16131868131868,3.6843956043956,1.07582417582418,2.81793406593407,2.18513186813187,3.67859340659341,1.04282417582418
0.23,2348,1861,3041,828,2.83824175824176,2.24956043956044,3.67593406593407,1.00087912087912,2.83534065934066,2.18343956043956,3.68173626373626,1.04330769230769
0.24,2442,1797,3032,816,2.95186813186813,2.1721978021978,3.66505494505495,0.986373626373626,2.84476923076923,2.17715384615385,3.68234065934066,1.03859340659341
0.25,2316,1802,3039,910,2.79956043956044,2.17824175824176,3.67351648351648,1.1,2.86664835164835,2.17606593406593,3.67883516483516,1.03303296703297
0.26,2373,1836,3040,828,2.86846153846154,2.21934065934066,3.67472527472527,1.00087912087912,2.87317582417582,2.16554945054945,3.67387912087912,1.03013186813187
0.27,2407,1771,3073,869,2.90956043956044,2.14076923076923,3.71461538461538,1.05043956043956,2.87462637362637,2.15612087912088,3.68258241758242,1.0281978021978
0.28,2403,1761,3064,835,2.90472527472527,2.12868131868132,3.70373626373626,1.00934065934066,2.88526373626374,2.15406593406593,3.68161538461538,1.01381318681319
0.29,2397,1786,3028,828,2.89747252747253,2.1589010989011,3.66021978021978,1.00087912087912,2.89541758241758,2.13786813186813,3.68221978021978,1.01345054945055
0.3,2371,1735,3007,868,2.86604395604396,2.09725274725275,3.63483516483516,1.04923076923077,2.89396703296703,2.1207032967033,3.68596703296703,1.00535164835165
0.31,2416,1700,3093,834,2.92043956043956,2.05494505494506,3.73879120879121,1.00813186813187,2.91512087912088,2.11079120879121,3.68306593406593,0.992054945054945
0.32,2396,1771,3040,771,2.89626373626374,2.14076923076923,3.67472527472527,0.931978021978022,2.93325274725275,2.09749450549451,3.68342857142857,0.992901098901099
0.33,2432,1727,3046,825,2.93978021978022,2.08758241758242,3.68197802197802,0.997252747252747,2.93857142857143,2.09374725274725,3.67581318681319,0.984560439560439
0.34,2430,1655,3063,749,2.93736263736264,2.00054945054945,3.70252747252747,0.905384615384615,2.94775824175824,2.08576923076923,3.6688021978022,0.974527472527473
0.35,2491,1720,3015,800,3.0110989010989,2.07912087912088,3.64450549450549,0.967032967032967,2.95621978021978,2.06654945054945,3.6659010989011,0.970054945054945
0.36,2523,1726,3043,835,3.04978021978022,2.08637362637363,3.67835164835165,1.00934065934066,2.96951648351648,2.06195604395604,3.66445054945055,0.954703296703297
0.37,2451,1740,3010,800,2.96274725274725,2.1032967032967,3.63846153846154,0.967032967032967,2.97713186813187,2.05216483516484,3.65393406593407,0.937901098901099
0.38,2479,1695,3006,752,2.99659340659341,2.0489010989011,3.63362637362637,0.909010989010989,2.99151648351648,2.03983516483517,3.65272527472527,0.933065934065934
0.39,2467,1627,3004,791,2.98208791208791,1.9667032967033,3.63120879120879,0.956153846153846,2.99707692307692,2.0262967032967,3.64921978021978,0.917593406593406
0.4,2481,1697,2995,741,2.99901098901099,2.05131868131868,3.62032967032967,0.895714285714286,3.00638461538462,2.02823076923077,3.64643956043956,0.907923076923077
0.41,2479,1619,3006,695,2.99659340659341,1.95703296703297,3.63362637362637,0.84010989010989,3.01267032967033,2.01698901098901,3.64269230769231,0.890879120879121
0.42,2515,1669,3030,731,3.04010989010989,2.01747252747253,3.66263736263736,0.883626373626374,3.00976923076923,2.00091208791209,3.63713186813187,0.862835164835165
0.43,2478,1615,3017,697,2.99538461538461,1.9521978021978,3.64692307692308,0.842527472527473,3.02765934065934,1.98024175824176,3.6380989010989,0.844098901098901
0.44,2507,1671,3040,669,3.03043956043956,2.01989010989011,3.67472527472527,0.808681318681319,3.02995604395604,1.96501098901099,3.63495604395604,0.829835164835165
0.45,2543,1627,2984,659,3.07395604395604,1.9667032967033,3.60703296703297,0.796593406593407,3.0411978021978,1.95908791208791,3.63652747252747,0.80154945054945
0.46,2499,1593,2997,603,3.02076923076923,1.9256043956044,3.62274725274725,0.728901098901099,3.04712087912088,1.94023076923077,3.63640659340659,0.783659340659341
0.47,2599,1569,3018,645,3.14164835164835,1.89659340659341,3.64813186813187,0.77967032967033,3.05364835164835,1.93068131868132,3.63326373626374,0.766131868131868
0.48,2498,1569,2980,634,3.01956043956044,1.89659340659341,3.6021978021978,0.766373626373626,3.06005494505495,1.90215384615385,3.63120879120879,0.752230769230769
0.49,2560,1578,3017,557,3.09450549450549,1.90747252747253,3.64692307692308,0.673296703296703,3.06912087912088,1.88668131868132,3.62552747252747,0.73143956043956
0.5,2530,1541,2994,593,3.05824175824176,1.86274725274725,3.61912087912088,0.716813186813187,3.07359340659341,1.86625274725275,3.62202197802198,0.718142857142857
0.51,2533,1540,2980,550,3.06186813186813,1.86153846153846,3.6021978021978,0.664835164835165,3.06597802197802,1.84521978021978,3.62117582417582,0.706175824175824
0.52,2568,1433,3013,616,3.10417582417582,1.7321978021978,3.64208791208791,0.744615384615385,3.07758241758242,1.83095604395604,3.61525274725275,0.697956043956044
0.53,2553,1487,2970,525,3.08604395604396,1.79747252747253,3.59010989010989,0.634615384615385,3.07335164835165,1.81512087912088,3.61162637362637,0.682120879120879
0.54,2544,1502,3011,559,3.07516483516484,1.8156043956044,3.63967032967033,0.675714285714286,3.08495604395604,1.79312087912088,3.61235164835165,0.664593406593407
0.55,2480,1453,2977,560,2.9978021978022,1.75637362637363,3.59857142857143,0.676923076923077,3.09220879120879,1.77523076923077,3.60497802197802,0.654318681318681
0.56,2595,1475,2948,535,3.13681318681319,1.78296703296703,3.56351648351648,0.646703296703297,3.10151648351648,1.75649450549451,3.60135164835165,0.640175824175824
0.57,2564,1438,2988,514,3.09934065934066,1.73824175824176,3.61186813186813,0.621318681318681,3.10127472527473,1.73751648351648,3.59917582417582,0.634615384615385
0.58,2594,1387,2986,489,3.1356043956044,1.67659340659341,3.60945054945055,0.591098901098901,3.09740659340659,1.73123076923077,3.59579120879121,0.615637362637363
0.59,2620,1430,2956,472,3.16703296703297,1.72857142857143,3.57318681318681,0.570549450549451,3.10030769230769,1.7211978021978,3.59156043956044,0.609835164835165
0.6,2607,1386,2964,476,3.15131868131868,1.67538461538462,3.58285714285714,0.575384615384615,3.09643956043956,1.69750549450549,3.58527472527472,0.597384615384616
0.61,2531,1383,2962,504,3.05945054945055,1.67175824175824,3.58043956043956,0.609230769230769,3.11058241758242,1.68469230769231,3.59010989010989,0.584813186813187
0.62,2536,1381,2985,459,3.06549450549451,1.66934065934066,3.60824175824176,0.554835164835165,3.11312087912088,1.66607692307692,3.58491208791209,0.575021978021978
0.63,2577,1404,2935,477,3.11505494505494,1.69714285714286,3.5478021978022,0.576593406593407,3.11916483516484,1.64746153846154,3.58189010989011,0.570428571428572
0.64,2512,1306,2959,456,3.03648351648352,1.57868131868132,3.57681318681319,0.551208791208791,3.11457142857143,1.63331868131868,3.57427472527473,0.565835164835165
0.65,2597,1347,3017,456,3.13923076923077,1.62824175824176,3.64692307692308,0.551208791208791,3.11481318681319,1.62824175824176,3.57173626373626,0.564626373626374
0.66,2616,1321,2905,454,3.1621978021978,1.59681318681319,3.51153846153846,0.548791208791209,3.10272527472527,1.61434065934066,3.56653846153846,0.560032967032967
0.67,2614,1284,2963,476,3.15978021978022,1.55208791208791,3.58164835164835,0.575384615384615,3.10441758241758,1.59838461538462,3.56206593406593,0.55278021978022
0.68,2556,1270,2923,451,3.08967032967033,1.53516483516484,3.5332967032967,0.545164835164835,3.10586813186813,1.58545054945055,3.55481318681319,0.551571428571429
0.69,2622,1388,2935,462,3.16945054945055,1.6778021978022,3.5478021978022,0.558461538461538,3.10743956043956,1.56030769230769,3.55481318681319,0.550362637362637
0.7,2507,1271,2921,438,3.03043956043956,1.53637362637363,3.53087912087912,0.529450549450549,3.11106593406593,1.54604395604396,3.55384615384615,0.547703296703297
0.71,2545,1251,2925,444,3.07637362637363,1.5121978021978,3.53571428571429,0.536703296703297,3.09740659340659,1.53045054945055,3.54526373626374,0.547824175824176
0.72,2548,1274,2925,449,3.08,1.54,3.53571428571429,0.542747252747253,3.08531868131868,1.5173956043956,3.55263736263736,0.55278021978022
0.73,2590,1196,2935,467,3.13076923076923,1.44571428571429,3.5478021978022,0.564505494505494,3.07298901098901,1.50192307692308,3.5449010989011,0.550846153846154
0.74,2542,1188,2951,434,3.07274725274725,1.43604395604396,3.56714285714286,0.524615384615385,3.06525274725275,1.49031868131868,3.54623076923077,0.550362637362637
0.75,2484,1218,2946,457,3.00263736263736,1.47230769230769,3.5610989010989,0.552417582417582,3.04373626373626,1.45901098901099,3.54647252747253,0.551692307692308
0.76,2516,1213,2966,495,3.04131868131868,1.46626373626374,3.58527472527472,0.598351648351648,3.04397802197802,1.44571428571429,3.54030769230769,0.565593406593407
0.77,2512,1156,2899,460,3.03648351648352,1.39736263736264,3.50428571428571,0.556043956043956,3.03914285714286,1.43374725274725,3.53752747252747,0.577802197802198
0.78,2492,1174,2934,447,3.01230769230769,1.41912087912088,3.54659340659341,0.54032967032967,3.04059340659341,1.41936263736264,3.53353846153846,0.586868131868132
0.79,2444,1129,2937,473,2.95428571428571,1.36472527472527,3.55021978021978,0.571758241758242,3.03406593406593,1.4131978021978,3.52314285714286,0.591098901098901
0.8,2509,1161,2870,553,3.03285714285714,1.40340659340659,3.46923076923077,0.668461538461538,3.02838461538462,1.41634065934066,3.51540659340659,0.608626373626374
0.81,2505,1152,2902,545,3.02802197802198,1.39252747252747,3.50791208791209,0.658791208791209,3.0279010989011,1.4086043956044,3.50742857142857,0.616241758241758
0.82,2560,1155,2892,524,3.09450549450549,1.39615384615385,3.49582417582418,0.633406593406593,3.0279010989011,1.3963956043956,3.49751648351648,0.622527472527473
0.83,2536,1145,2849,502,3.06549450549451,1.38406593406593,3.44384615384615,0.606813186813187,3.02705494505495,1.39748351648352,3.48796703296703,0.635098901098901
0.84,2495,1214,2887,579,3.01593406593407,1.46747252747253,3.48978021978022,0.69989010989011,3.02814285714286,1.39772527472527,3.48337362637363,0.649604395604396
0.85,2480,1154,2880,520,2.9978021978022,1.39494505494506,3.48131868131868,0.628571428571429,3.03334065934066,1.39893406593407,3.47189010989011,0.666527472527473
0.86,2516,1112,2884,547,3.04131868131868,1.34417582417582,3.48615384615385,0.661208791208791,3.03104395604396,1.39385714285714,3.47189010989011,0.675835164835165
0.87,2505,1165,2820,564,3.02802197802198,1.40824175824176,3.40879120879121,0.681758241758242,3.01738461538462,1.397,3.46040659340659,0.683208791208791
0.88,2501,1176,2896,567,3.02318681318681,1.42153846153846,3.50065934065934,0.685384615384615,3.00723076923077,1.39857142857143,3.45508791208791,0.696868131868132
0.89,2487,1139,2842,613,3.00626373626374,1.37681318681319,3.43538461538462,0.740989010989011,2.99151648351648,1.40316483516483,3.44807692307692,0.71632967032967
0.9,2490,1119,2870,630,3.00989010989011,1.35263736263736,3.46923076923077,0.761538461538461,2.98184615384615,1.39518681318681,3.44179120879121,0.721406593406593
0.91,2392,1178,2807,606,2.89142857142857,1.42395604395604,3.39307692307692,0.732527472527473,2.97725274725275,1.39361538461538,3.43610989010989,0.736153846153846
0.92,2476,1168,2848,637,2.99296703296703,1.41186813186813,3.44263736263736,0.77,2.96806593406593,1.39530769230769,3.42801098901099,0.749813186813187
0.93,2406,1183,2791,663,2.90835164835165,1.43,3.37373626373626,0.801428571428571,2.94654945054945,1.40171428571429,3.42825274725275,0.770241758241758
0.94,2415,1148,2835,621,2.91923076923077,1.38769230769231,3.42692307692308,0.750659340659341,2.9347032967033,1.40401098901099,3.41797802197802,0.789582417582418
0.95,2442,1141,2833,642,2.95186813186813,1.37923076923077,3.42450549450549,0.776043956043956,2.91391208791209,1.4073956043956,3.41157142857143,0.799736263736264
0.96,2440,1126,2817,660,2.94945054945055,1.3610989010989,3.40516483516484,0.797802197802198,2.89602197802198,1.41368131868132,3.39742857142857,0.817384615384615
0.97,2327,1218,2822,733,2.81285714285714,1.47230769230769,3.41120879120879,0.886043956043956,2.89553846153846,1.41585714285714,3.39210989010989,0.830197802197802
0.98,2403,1195,2811,727,2.90472527472527,1.44450549450549,3.39791208791209,0.878791208791209,2.87704395604396,1.42359340659341,3.38389010989011,0.840835164835165
0.99,2315,1167,2789,697,2.79835164835165,1.41065934065934,3.37131868131868,0.842527472527473,2.86967032967033,1.42564835164835,3.38727472527473,0.849538461538462
1,2342,1171,2753,776,2.83098901098901,1.41549450549451,3.3278021978022,0.938021978021978,2.85927472527473,1.43205494505494,3.37917582417582,0.86767032967033
1.01,2388,1196,2763,712,2.88659340659341,1.44571428571429,3.33989010989011,0.860659340659341,2.8496043956044,1.44136263736264,3.37554945054945,0.885802197802198
1.02,2323,1232,2780,725,2.80802197802198,1.48923076923077,3.36043956043956,0.876373626373626,2.83630769230769,1.4542967032967,3.37264835164835,0.905505494505494
1.03,2345,1200,2819,735,2.83461538461538,1.45054945054945,3.40758241758242,0.888461538461539,2.82651648351648,1.46142857142857,3.3689010989011,0.907923076923077
1.04,2329,1201,2768,771,2.81527472527473,1.45175824175824,3.34593406593407,0.931978021978022,2.80983516483516,1.47073626373626,3.36406593406593,0.915296703296703
1.05,2362,1218,2803,792,2.85516483516483,1.47230769230769,3.38824175824176,0.957362637362637,2.80246153846154,1.48391208791209,3.35608791208791,0.933307692307693
1.06,2330,1233,2793,823,2.81648351648352,1.49043956043956,3.37615384615385,0.994835164835165,2.78686813186813,1.50603296703297,3.35947252747253,0.937417582417583
1.07,2246,1277,2791,753,2.71494505494505,1.54362637362637,3.37373626373626,0.91021978021978,2.76982417582418,1.52573626373626,3.35620879120879,0.953494505494506
